date,close,compound_gn,negative_gn,neutral_gn,positive_gn,compound_tw,negative_tw,neutral_tw,positive_tw,open,high,low,volume
2020-09-04,0.4712132301265818,-0.0258,0.093,0.817,0.089,0.0,0.0,1.0,0.0,0.4588923699598765,0.4618008904162594,0.469760905397743,0.1451318416973375
2020-09-08,0.4601343960237358,0.4767,0.026,0.899,0.075,0.4939,0.0,0.652,0.348,0.4578117852810194,0.4551575498872324,0.471729954485636,0.0798966951717524
2020-09-09,0.4667635236724186,-0.1531,0.111,0.773,0.116,0.24695,0.0,0.8260000000000001,0.174,0.4606033329151652,0.460274737491911,0.4760431198500804,0.0898016449223443
2020-09-10,0.4534144389512042,-0.296,0.167,0.705,0.128,-0.6908,0.249,0.701,0.049,0.4615038144223515,0.4591076572139094,0.4661978386422396,0.1058732826798231
2020-09-11,0.4844714854239473,0.1779,0.081,0.813,0.106,0.8284,0.042,0.823,0.135,0.4619540551759447,0.4779603238766777,0.4804500698958773,0.250944645284674
2020-09-14,0.4841082370111023,0.7506,0.0,0.782,0.218,0.0,0.0,1.0,0.0,0.4867176744864123,0.4873866572080617,0.4948898347438443,0.1945694133800457
2020-09-15,0.4903741162469399,0.6486,0.063,0.735,0.202,-0.1027,0.214,0.682,0.105,0.4859072273894775,0.49007992465673,0.5021097171678278,0.1774630927700241
2020-09-16,0.4755721071568961,-0.1779,0.05,0.95,0.0,0.0516,0.219,0.66,0.122,0.4823953014198162,0.4797558240936838,0.4880450195085192,0.1571557391117201
2020-09-17,0.4856520254450559,0.1531,0.208,0.545,0.248,0.128,0.169,0.694,0.137,0.465105809153432,0.479037610308354,0.482981719766758,0.1710713789505515
2020-09-18,0.4818379863927338,0.2023,0.082,0.822,0.096,-0.128,0.048,0.952,0.0,0.4838360924420149,0.4851422904983837,0.4975152335277016,0.1805862113117697
2020-09-21,0.4667635236724186,-0.1531,0.046,0.954,0.0,-0.4939,0.341,0.659,0.0,0.4709590076524784,0.4697908304233023,0.4766994695460447,0.2894322320871553
2020-09-22,0.4468761407263704,0.25,0.065,0.826,0.109,-0.1531,0.186,0.814,0.0,0.444754597319812,0.4418709030754966,0.4552273916367993,0.1307449008224611
2020-09-23,0.4585906075897821,0.0,0.0,1.0,0.0,-0.1531,0.242,0.758,0.0,0.4405222586634675,0.4538109504092165,0.4543835083465057,0.2035889710108998
2020-09-24,0.4545949789723129,-0.9595,0.265,0.662,0.074,0.0,0.0,1.0,0.0,0.4587122667882056,0.4553371033335648,0.467323004439839,0.1722155779975971
2020-09-25,0.4599527718173133,0.6486,0.051,0.786,0.163,0.0,0.0,1.0,0.0,0.4466456290956038,0.4523745570848752,0.4650726728446401,0.1502834616924883
2020-09-28,0.4556846895695727,0.4588,0.0,0.897,0.103,-0.128,0.147,0.751,0.102,0.4609635049073391,0.4594667641065742,0.469760905397743,0.1649030563735973
2020-09-29,0.4517798557346769,-0.5574,0.135,0.789,0.076,-0.25,0.152,0.762,0.086,0.4500675206550136,0.4569530501042385,0.4664791211495454,0.1427611702431968
2020-09-30,0.458681437013631,0.25,0.083,0.78,0.137,-0.4588,0.154,0.846,0.0,0.4543898937216096,0.4597360771529137,0.4702297214993781,0.1413766893962715
2020-10-01,0.4564111863952627,0.34,0.11,0.708,0.181,-0.2294,0.077,0.9229999999999999,0.0,0.4572714757660071,0.4559655232725691,0.463384906264053,0.124514464582953
2020-10-02,0.4515074367456808,0.0,0.073,0.854,0.073,-0.1147,0.0385,0.9614999999999999,0.0,0.4489869359761565,0.4522847632385499,0.4642287895543466,0.1289610400224481
2020-10-05,0.4630403140439454,-0.6124,0.181,0.723,0.096,0.4215,0.0,0.877,0.123,0.4515983804386315,0.4558757636725621,0.4702297214993781,0.0974596056872141
2020-10-06,0.4542317305594678,0.7096,0.099,0.583,0.318,0.21075,0.0,0.9385,0.0615,0.4615938488326031,0.4598258367529209,0.4651664217576168,0.119604760957749
2020-10-07,0.468307277465097,-0.7184,0.2,0.725,0.075,0.4019,0.0,0.847,0.153,0.4537595497963457,0.4641350167259445,0.4721987705872711,0.1486178347940033
2020-10-08,0.4784780251771057,-0.128,0.104,0.801,0.095,0.0,0.0,1.0,0.0,0.4646555340486712,0.4706885976549644,0.4825129036651229,0.1209985043683885
2020-10-09,0.4812931137734663,0.1531,0.074,0.833,0.093,0.0,0.0,1.0,0.0,0.476722171741273,0.4747284303353303,0.4899202839150597,0.1150786364416499
2020-10-13,0.4861968634230482,-0.6705,0.222,0.721,0.057,0.4588,0.056,0.851,0.092,0.4729401081896894,0.4810126639716925,0.4916080504956469,0.10135533101406
2020-10-14,0.4940065310928396,-0.7184,0.231,0.769,0.0,0.6705,0.066,0.712,0.222,0.480234132062102,0.4868480311153827,0.5010783002832051,0.1210159397824387
2020-10-15,0.4891936108671066,0.5423,0.052,0.799,0.149,-0.3182,0.15,0.85,0.0,0.483205748516751,0.482987717635031,0.5005156995002175,0.088864491417145
2020-10-16,0.4871049844551607,-0.0516,0.126,0.758,0.116,-0.4767,0.128,0.872,0.0,0.485817192979226,0.4851422904983837,0.5029536004581213,0.0864742051221977
2020-10-19,0.4844714854239473,-0.8442,0.258,0.681,0.061,-0.296,0.058,0.942,0.0,0.4860873305611484,0.4858605042837134,0.5002344169929115,0.15885950597844
2020-10-20,0.4834725696092611,0.1027,0.198,0.556,0.247,-0.1531,0.054,0.946,0.0,0.4775326188382079,0.4778705642766706,0.4944210186422092,0.1377223355826833
2020-10-21,0.4926443668653083,0.5859,0.0,0.863,0.137,0.0,0.0,1.0,0.0,0.4763619997490991,0.486129817330053,0.4969526327447139,0.1170401205222996
2020-10-22,0.4949146174836767,-0.6486,0.242,0.667,0.091,0.0,0.0,1.0,0.0,0.4895092221205581,0.4886435313323888,0.5048288648646618,0.1748864654874151
2020-10-23,0.4980929891341578,-0.3182,0.063,0.894,0.042,0.0,0.0,1.0,0.0,0.4850967802925428,0.4922344975200827,0.5027660668637921,0.1322007578956545
2020-10-26,0.4894660298561027,0.5267,0.0,0.833,0.167,0.0,0.0,1.0,0.0,0.4876181903447662,0.488284424439724,0.5007969820075233,0.0994412494653593
2020-10-27,0.4897384488450989,-0.6486,0.168,0.784,0.048,0.0,0.0,1.0,0.0,0.4840161956136857,0.4833468245276959,0.5012658338775343,0.0989214561839872
2020-10-28,0.4691245690733606,0.4588,0.083,0.771,0.146,0.1027,0.0,0.94,0.06,0.4790634786218257,0.4758955106133321,0.4842944191586866,0.129055300229657
2020-10-29,0.4851071528257884,0.1027,0.0,0.938,0.062,-0.9201,0.161,0.822,0.016,0.4702386293169628,0.4774216977839986,0.4799812537942422,0.207039003566087
2020-10-30,0.471758068104574,-0.1779,0.066,0.934,0.0,0.128,0.076,0.831,0.093,0.4777127220098786,0.4789478507083469,0.4820440517951119,0.1497059136020748
2020-11-03,0.4970940733194716,0.0,0.0,1.0,0.0,0.064,0.038,0.9155,0.0465,0.4786132378682325,0.4872968976080547,0.4933896017575864,0.1792622095573312
2020-11-04,0.4811115242083191,0.0,0.0,1.0,0.0,0.032,0.019,0.95775,0.02325,0.4910400475530084,0.4867582372690575,0.4955461844398087,0.152189915247542
2020-11-05,0.4899200730515213,-0.9169,0.186,0.72,0.095,0.016,0.0095,0.9788749999999999,0.011625,0.4822151982481454,0.4847832178520371,0.4955461844398087,0.1392849845669342
2020-11-06,0.4957319090919403,-0.6808,0.242,0.682,0.076,0.008,0.00475,0.9894375,0.0058125,0.4829356109348286,0.4928629174590871,0.5038912326613916,0.1441282156760718
2020-11-09,0.4957319090919403,-0.0258,0.134,0.769,0.097,-0.5267,0.104,0.896,0.0,0.4988743809404333,0.4956459102614443,0.5088607477218003,0.2055684353622888
2020-11-10,0.4954594901029443,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4906798755608344,0.4895412643177327,0.5071729811412132,0.2940079385619597
2020-11-11,0.4994551187204136,-0.4215,0.151,0.754,0.096,0.0,0.0,1.0,0.0,0.490139566045822,0.4925038105664223,0.5100796982007524,0.1411641952875345
2020-11-12,0.4910097836487811,0.5106,0.0,0.903,0.097,0.0,0.0,1.0,0.0,0.4936514920154833,0.4911572110884064,0.505016398458991,0.1292754223320411
2020-11-13,0.496276781711208,-0.4404,0.082,0.886,0.032,0.7351,0.0,0.754,0.246,0.4860873305611484,0.4891821574250679,0.5064228825322722,0.1366462436217713
2020-11-16,0.5114420392140968,0.3818,0.0,0.729,0.271,0.36755,0.0,0.877,0.123,0.4930211480902194,0.5052517970391609,0.5097984156934464,0.4984234571701778
2020-11-17,0.530058121997738,0.7783,0.0,0.845,0.155,0.1531,0.0,0.862,0.138,0.5047276137906472,0.5300296246919447,0.5269573640066232,0.3404041202062827
2020-11-18,0.5253359619133035,0.6901,0.016,0.875,0.109,0.4588,0.086,0.719,0.194,0.5244484129966681,0.5236556314555754,0.5388654432153338,0.1245237271466672
2020-11-19,0.5368688738528433,-0.144,0.095,0.839,0.066,0.0,0.0,1.0,0.0,0.5219270372956123,0.5266182119505831,0.5426160435651664,0.1412731666253483
2020-11-23,0.5692880499118422,-0.072,0.0475,0.9195,0.033,-0.0772,0.109,0.755,0.136,0.5408374237558661,0.5589370788714197,0.5616502562848836,0.2106546725547513
2020-11-24,0.601162387992849,0.8316,0.042,0.747,0.212,-0.0386,0.0545,0.8775,0.068,0.5610085667689828,0.5909866327459167,0.5774027205247793,0.2715685606793273
2020-11-25,0.6075190620112603,0.3182,0.0,0.635,0.365,-0.296,0.144,0.856,0.0,0.5857721860794505,0.6000538934309542,0.6095639987005349,0.1976146174152543
2020-11-26,0.6172357318865751,0.1779,0.0,0.945,0.055,0.4019,0.0,0.649,0.351,0.6003601651219406,0.6063380928209982,0.6263478798250532,0.1109273733276305
2020-11-27,0.634217231453689,-0.0516,0.077,0.865,0.058,0.9217,0.033,0.74,0.228,0.6145880065234242,0.6259089732690962,0.6391935912370341,0.2667983403665251
2020-11-30,0.6302215681949445,-0.7003,0.124,0.876,0.0,0.7184,0.0,0.739,0.261,0.6312471548645445,0.631115920473782,0.6424754112536073,0.2647687491997417
2020-12-01,0.6597348262337339,-0.35015,0.062,0.938,0.0,-0.25,0.143,0.857,0.0,0.640072038520575,0.6503276940292151,0.662447256176595,0.3347664880444821
2020-12-02,0.6469305794905117,0.6369,0.0,0.816,0.184,0.6597,0.0,0.912,0.088,0.6497073349223726,0.6480833273195371,0.6442568909787953,0.2926060223009842
2020-12-03,0.6389393222555731,0.1779,0.0,0.963,0.037,-0.1779,0.034,0.966,0.0,0.650607816429559,0.6462878613488492,0.6564463242315633,0.1915639838831391
2020-12-04,0.6663639885236919,-0.5994,0.153,0.741,0.106,0.8176,0.038,0.735,0.227,0.6425033454602116,0.6609211076386009,0.6704172372095194,0.2651103743437882
2020-12-07,0.6751725027256188,-0.5859,0.294,0.541,0.166,0.7351,0.0,0.776,0.224,0.6633948324576764,0.6637041004409581,0.6851382845647923,0.1492825599546679
2020-12-08,0.6747184941714756,0.3818,0.067,0.798,0.134,0.36755,0.0,0.888,0.112,0.6683475838007039,0.6664871617359516,0.6850445714201914,0.1558224747935674
2020-12-09,0.6729022521072504,0.0258,0.058,0.882,0.06,0.5267,0.0,0.885,0.115,0.6695182028898127,0.6712452082016472,0.6902953689879061,0.1467762191849488
2020-12-10,0.69378858550926,0.2732,0.1,0.753,0.146,0.8625,0.0,0.683,0.317,0.6744709542328403,0.6837238816280462,0.6994842647314068,0.2246482269001196
2020-12-11,0.6925172507055778,0.0516,0.138,0.691,0.171,0.4215,0.0,0.944,0.056,0.6832057691274516,0.6842625077207253,0.7107360657809045,0.1369595362179862
2020-12-14,0.6806211596357435,0.5994,0.068,0.735,0.197,-0.1779,0.19,0.681,0.129,0.6884285893500663,0.6837238816280462,0.6971401484548554,0.1140477675859307
2020-12-15,0.6892480842725233,-0.128,0.169,0.697,0.135,0.5267,0.0,0.928,0.072,0.673570472725654,0.6851602407060693,0.7027660847479801,0.1022303708567054
2020-12-16,0.7048674196121061,-0.064,0.0845,0.849,0.0675,0.5267,0.092,0.76,0.147,0.6857271448285074,0.6927911423130837,0.7103609985922461,0.1255257185978658
2020-12-17,0.7137667632378819,0.7351,0.044,0.796,0.159,0.26335,0.046,0.8795,0.0735,0.7001350550504942,0.7082323277418541,0.727332377542718,0.1164238876069621
2020-12-18,0.7192154201480065,0.4215,0.0,0.924,0.076,0.0,0.0,1.0,0.0,0.7102206265570526,0.7120926412222058,0.7391467436068275,0.129910725231496
2020-12-21,0.7106792556525251,0.4588,0.053,0.837,0.11,-0.0883,0.15,0.732,0.118,0.6969833354241745,0.7032947620761443,0.7142990967680322,0.1736856013447063
2020-12-22,0.7114057524782151,0.4215,0.031,0.899,0.07,0.0,0.0,1.0,0.0,0.7033768434382331,0.6996139677958068,0.7203938133944162,0.1261724634877911
2020-12-23,0.715219756889262,0.4767,0.088,0.724,0.188,0.0,0.0,1.0,0.0,0.7004051926324166,0.7044618081078278,0.729488995993316,0.0964952093475613
2020-12-28,0.714765679052568,-0.3182,0.159,0.751,0.09,0.0,0.0,1.0,0.0,0.711751451989503,0.7138881756855301,0.7358649951270059,0.1416698222949908
2020-12-29,0.7125862578580485,0.128,0.12,0.733,0.147,0.0,0.0,1.0,0.0,0.7133723461833724,0.7104766944515322,0.7305204128779387,0.1074866033361575
2020-12-30,0.7160370138562503,-0.0772,0.08,0.848,0.072,-0.128,0.043,0.957,0.0,0.7063484942440498,0.7050004342005068,0.7318331122698674,0.1640165745404815
2021-01-04,0.7524518531739939,0.0,0.0,1.0,0.0,-0.064,0.0215,0.9784999999999999,0.0,0.7257991558681482,0.7399228432163226,0.7524613068888193,0.2063127095995575
2021-01-05,0.7664366052970494,0.8957,0.04,0.717,0.244,0.0,0.0,1.0,0.0,0.7447996110898211,0.7535685626744052,0.7681199864473625,0.1868874789208568
2021-01-06,0.7941336905541642,-0.3818,0.106,0.894,0.0,0.0,0.0,1.0,0.0,0.7764970822805274,0.7836430628855636,0.8045007168429615,0.2927106347852856
2021-01-07,0.8510715455785218,0.7906,0.0,0.833,0.167,0.0,0.0,1.0,0.0,0.7911751300844366,0.8391238106885104,0.8252226961432659,0.4061438040259461
2021-01-08,0.8481656275583123,0.5423,0.141,0.62,0.239,0.0,0.0,1.0,0.0,0.8488068396747194,0.846485330756549,0.8401312413244924,0.3190827882496206
2021-01-11,0.8479840379931651,-0.2023,0.136,0.72,0.144,-0.5267,0.173,0.827,0.0,0.8239531516028324,0.8341862450228006,0.8541959389838009,0.1594632071899288
2021-01-12,0.8226480327782674,-0.1027,0.103,0.812,0.085,-0.4019,0.072,0.928,0.0,0.8442142946750333,0.8399318183201655,0.8493202086047446,0.1558208402235002
2021-01-13,0.7956774443468426,-0.5423,0.302,0.515,0.182,-0.20095,0.036,0.9640000000000001,0.0,0.8115263419180567,0.8067151499213486,0.8170651457476362,0.1724950894790897
2021-01-14,0.8100254448827431,0.6597,0.0,0.787,0.213,-0.100475,0.018,0.9820000000000001,0.0,0.796668156591309,0.8061765238286694,0.8260665436651838,0.1133841321386442
2021-01-15,0.77143118437048,0.4588,0.0,0.667,0.333,0.4215,0.0,0.903,0.097,0.7909049925025141,0.7912738959999419,0.7932489157934639,0.1727871326644309
2021-01-18,0.7783326963668838,0.4588,0.0,0.842,0.158,0.0,0.0,1.0,0.0,0.7667717171173106,0.7772690696491944,0.7965307358100369,0.1235059348514856
